key 	 Omega 	 dN 	 dS 
OGs_OG0007038_Gbi_Lko.aln	0.0466	0.1135	2.4326
OGs_OG0004101_Gbi_Lko.aln	0.0553	0.1132	2.0451
OGs_OG0004556_Gbi_Lko.aln	0.0912	0.4282	4.6974
OGs_OG0008836_Gbi_Lko.aln	0.0961	0.4082	4.2493
OGs_OG0004608_Gbi_Lko.aln	0.0323	0.0863	2.6678
OGs_OG0000991_Gbi_Lko.aln	0.0361	0.1678	4.6483
OGs_OG0003878_Gbi_Lko.aln	0.0634	0.2319	3.655
OGs_OG0004174_Gbi_Lko.aln	0.1127	0.3898	3.4592
OGs_OG0007659_Gbi_Lko.aln	0.0809	0.3291	4.0658
OGs_OG0004767_Gbi_Lko.aln	0.0064	0.0325	5.0412
OGs_OG0002306_Gbi_Lko.aln	0.0573	0.1226	2.1374
OGs_OG0005052_Gbi_Lko.aln	0.1593	0.2712	1.7025
OGs_OG0004701_Gbi_Lko.aln	0.0038	0.0067	1.7733
OGs_OG0004815_Gbi_Lko.aln	0.038	0.0774	2.0384
OGs_OG0001439_Gbi_Lko.aln	0.0476	0.1839	3.8644
OGs_OG0002266_Gbi_Lko.aln	0.0258	0.056	2.1671
OGs_OG0007755_Gbi_Lko.aln	0.053	0.0698	1.3172
OGs_OG0013450_Gbi_Lko.aln	0.2176	0.6632	3.0479
OGs_OG0006750_Gbi_Lko.aln	0.0128	0.0411	3.2117
OGs_OG0003465_Gbi_Lko.aln	0.0121	0.0428	3.5329
OGs_OG0004302_Gbi_Lko.aln	0.0452	0.1088	2.4085
OGs_OG0000344_Gbi_Lko.aln	0.1515	0.2858	1.8861
OGs_OG0007842_Gbi_Lko.aln	0.0383	0.0711	1.8589
OGs_OG0009989_Gbi_Lko.aln	0.295	0.2523	0.8553
OGs_OG0008020_Gbi_Lko.aln	0.0638	0.1286	2.0163
OGs_OG0006746_Gbi_Lko.aln	0.0981	0.3087	3.1454
OGs_OG0003070_Gbi_Lko.aln	0.0306	0.0597	1.9483
OGs_OG0000952_Gbi_Lko.aln	0.0811	0.3941	4.8622
OGs_OG0003253_Gbi_Lko.aln	0.1224	0.2611	2.1323
OGs_OG0005009_Gbi_Lko.aln	0.0229	0.0641	2.7957
OGs_OG0001601_Gbi_Lko.aln	0.0455	0.1264	2.7787
OGs_OG0001627_Gbi_Lko.aln	0.0598	0.2557	4.2749
OGs_OG0002366_Gbi_Lko.aln	0.0218	0.0902	4.1398
OGs_OG0005901_Gbi_Lko.aln	0.0358	0.13	3.6323
OGs_OG0006037_Gbi_Lko.aln	0.1664	0.3293	1.9782
OGs_OG0008033_Gbi_Lko.aln	0.0475	0.0573	1.2047
OGs_OG0006275_Gbi_Lko.aln	0.0803	0.2945	3.6694
OGs_OG0007514_Gbi_Lko.aln	0.1607	0.5738	3.5694
OGs_OG0010421_Gbi_Lko.aln	0.0197	0.0686	3.4768
OGs_OG0004297_Gbi_Lko.aln	0.0214	0.0206	0.9636
OGs_OG0003534_Gbi_Lko.aln	0.0455	0.104	2.2863
OGs_OG0003105_Gbi_Lko.aln	0.0869	0.1462	1.6831
OGs_OG0005924_Gbi_Lko.aln	0.0061	0.0235	3.8759
OGs_OG0001705_Gbi_Lko.aln	0.032	0.1205	3.7711
OGs_OG0005759_Gbi_Lko.aln	0.0304	0.1237	4.0736
OGs_OG0005869_Gbi_Lko.aln	0.0777	0.3284	4.2257
OGs_OG0002879_Gbi_Lko.aln	0.0151	0.1242	8.2175
OGs_OG0008004_Gbi_Lko.aln	0.0537	0.2017	3.7594
OGs_OG0004304_Gbi_Lko.aln	0.0417	0.0627	1.504
OGs_OG0006074_Gbi_Lko.aln	0.0989	0.4372	4.4209
OGs_OG0013338_Gbi_Lko.aln	0.8995	0.1665	0.1851
OGs_OG0006344_Gbi_Lko.aln	0.0094	0.0293	3.128
OGs_OG0003467_Gbi_Lko.aln	0.0619	0.1633	2.6377
OGs_OG0002302_Gbi_Lko.aln	0.0285	0.1349	4.7402
OGs_OG0004155_Gbi_Lko.aln	0.0837	0.3458	4.1336
OGs_OG0008238_Gbi_Lko.aln	0.0392	0.1665	4.2484
OGs_OG0003539_Gbi_Lko.aln	0.0151	0.0671	4.4324
OGs_OG0003891_Gbi_Lko.aln	0.0644	0.3331	5.1741
OGs_OG0008628_Gbi_Lko.aln	0.0333	0.1419	4.2555
OGs_OG0013586_Gbi_Lko.aln	0.0754	0.1077	1.4289
OGs_OG0003975_Gbi_Lko.aln	0.0839	0.3202	3.8152
OGs_OG0008866_Gbi_Lko.aln	0.0703	0.3141	4.4659
OGs_OG0003126_Gbi_Lko.aln	0.0705	0.1063	1.5088
OGs_OG0013688_Gbi_Lko.aln	0.0856	0.2899	3.3848
OGs_OG0006288_Gbi_Lko.aln	0.0069	0.0253	3.635
OGs_OG0002664_Gbi_Lko.aln	0.0906	0.4034	4.4527
OGs_OG0007347_Gbi_Lko.aln	0.2603	0.5716	2.1958
OGs_OG0004352_Gbi_Lko.aln	0.0369	0.0813	2.2056
OGs_OG0009752_Gbi_Lko.aln	0.0421	0.0879	2.0874
OGs_OG0001319_Gbi_Lko.aln	0.0215	0.0273	1.266
OGs_OG0004140_Gbi_Lko.aln	0.0099	0.0541	5.4828
OGs_OG0003024_Gbi_Lko.aln	0.0277	0.056	2.0212
OGs_OG0004856_Gbi_Lko.aln	0.2051	0.3872	1.8874
OGs_OG0001768_Gbi_Lko.aln	0.0844	0.2569	3.0455
OGs_OG0005475_Gbi_Lko.aln	0.038	0.1605	4.2252
OGs_OG0004966_Gbi_Lko.aln	0.0755	0.3281	4.3461
OGs_OG0001179_Gbi_Lko.aln	0.0043	0.007	1.6396
OGs_OG0006479_Gbi_Lko.aln	0.0135	0.0112	0.8287
OGs_OG0004682_Gbi_Lko.aln	0.0386	0.1753	4.5435
OGs_OG0013492_Gbi_Lko.aln	0.075	0.1517	2.0224
OGs_OG0007830_Gbi_Lko.aln	0.0037	0.3707	99.0
OGs_OG0008454_Gbi_Lko.aln	0.012	0.0443	3.6866
OGs_OG0007701_Gbi_Lko.aln	0.0513	0.186	3.6231
OGs_OG0013554_Gbi_Lko.aln	1.3472	0.4406	0.3271
OGs_OG0005339_Gbi_Lko.aln	0.0244	0.0341	1.3967
OGs_OG0001680_Gbi_Lko.aln	0.1144	0.1793	1.5675
OGs_OG0006369_Gbi_Lko.aln	0.0193	0.082	4.2564
OGs_OG0005104_Gbi_Lko.aln	0.0294	0.1428	4.8622
OGs_OG0003215_Gbi_Lko.aln	0.0279	0.1114	3.9884
OGs_OG0006507_Gbi_Lko.aln	0.0558	0.2166	3.8804
OGs_OG0007338_Gbi_Lko.aln	0.0163	0.0646	3.9609
OGs_OG0002470_Gbi_Lko.aln	0.03	0.0992	3.3015
OGs_OG0007638_Gbi_Lko.aln	0.0671	0.2708	4.0349
OGs_OG0004828_Gbi_Lko.aln	0.0465	0.1817	3.9063
OGs_OG0006623_Gbi_Lko.aln	0.2071	0.3516	1.6981
OGs_OG0013675_Gbi_Lko.aln	0.2214	0.3833	1.7312
OGs_OG0004873_Gbi_Lko.aln	0.0554	0.082	1.4789
OGs_OG0002013_Gbi_Lko.aln	0.016	0.0271	1.695
OGs_OG0006198_Gbi_Lko.aln	0.2309	0.5626	2.4367
OGs_OG0003525_Gbi_Lko.aln	0.0084	0.0253	3.0268
OGs_OG0008524_Gbi_Lko.aln	0.0625	0.192	3.0705
OGs_OG0002149_Gbi_Lko.aln	0.0199	0.0904	4.541
OGs_OG0007150_Gbi_Lko.aln	0.0957	0.4419	4.616
OGs_OG0003519_Gbi_Lko.aln	0.0288	0.0656	2.2725
OGs_OG0003614_Gbi_Lko.aln	0.0274	0.1066	3.8955
OGs_OG0003633_Gbi_Lko.aln	0.0729	0.1944	2.6669
OGs_OG0008106_Gbi_Lko.aln	0.1033	0.2744	2.6563
OGs_OG0013593_Gbi_Lko.aln	0.1393	0.4587	3.2936
OGs_OG0007170_Gbi_Lko.aln	0.1829	0.3985	2.1792
OGs_OG0002768_Gbi_Lko.aln	0.1331	0.2537	1.9055
OGs_OG0007105_Gbi_Lko.aln	0.0209	0.027	1.295
OGs_OG0007942_Gbi_Lko.aln	0.0601	0.2664	4.4361
OGs_OG0003423_Gbi_Lko.aln	0.0538	0.2357	4.3785
OGs_OG0001937_Gbi_Lko.aln	0.1201	0.5633	4.6903
OGs_OG0005703_Gbi_Lko.aln	0.0452	0.1589	3.5143
OGs_OG0002155_Gbi_Lko.aln	0.0458	0.1574	3.4414
OGs_OG0005082_Gbi_Lko.aln	0.0911	0.3322	3.6469
OGs_OG0006206_Gbi_Lko.aln	0.0901	0.3388	3.7606
OGs_OG0007087_Gbi_Lko.aln	0.0091	0.0403	4.4262
OGs_OG0011109_Gbi_Lko.aln	0.3253	0.5974	1.8361
OGs_OG0006923_Gbi_Lko.aln	0.0429	0.1385	3.2267
OGs_OG0005739_Gbi_Lko.aln	0.0455	0.0711	1.5625
OGs_OG0006575_Gbi_Lko.aln	0.012	0.0464	3.8742
OGs_OG0002466_Gbi_Lko.aln	0.0086	0.0356	4.1567
OGs_OG0000843_Gbi_Lko.aln	0.0714	0.2933	4.1098
OGs_OG0002902_Gbi_Lko.aln	0.0717	0.313	4.3661
OGs_OG0007360_Gbi_Lko.aln	0.0304	0.1328	4.3677
OGs_OG0002690_Gbi_Lko.aln	0.023	0.1082	4.699
OGs_OG0010389_Gbi_Lko.aln	0.1028	0.427	4.1538
OGs_OG0006728_Gbi_Lko.aln	0.0196	0.088	4.482
OGs_OG0007551_Gbi_Lko.aln	0.0733	0.3116	4.2511
OGs_OG0007003_Gbi_Lko.aln	0.1179	0.6008	5.0953
OGs_OG0007122_Gbi_Lko.aln	0.0396	0.1443	3.6425
OGs_OG0001542_Gbi_Lko.aln	0.0337	0.0464	1.3776
OGs_OG0006595_Gbi_Lko.aln	0.0881	0.4175	4.7372
OGs_OG0004083_Gbi_Lko.aln	0.1091	0.147	1.3468
OGs_OG0007502_Gbi_Lko.aln	0.1941	0.6043	3.1127
OGs_OG0002329_Gbi_Lko.aln	0.0185	0.0878	4.7444
OGs_OG0008634_Gbi_Lko.aln	0.3341	0.5797	1.7348
OGs_OG0006501_Gbi_Lko.aln	0.047	0.2247	4.7844
OGs_OG0007789_Gbi_Lko.aln	0.1019	0.4253	4.1745
OGs_OG0007314_Gbi_Lko.aln	0.0897	0.3549	3.9548
OGs_OG0007578_Gbi_Lko.aln	0.0951	0.1668	1.7542
OGs_OG0007384_Gbi_Lko.aln	0.0511	0.082	1.6028
OGs_OG0005342_Gbi_Lko.aln	0.0544	0.2108	3.8753
OGs_OG0011211_Gbi_Lko.aln	0.1222	0.1873	1.5328
OGs_OG0013643_Gbi_Lko.aln	0.1116	0.3602	3.2281
OGs_OG0003166_Gbi_Lko.aln	0.0229	0.1097	4.7899
OGs_OG0003889_Gbi_Lko.aln	0.0082	0.0392	4.7892
OGs_OG0002121_Gbi_Lko.aln	0.0287	0.1499	5.2295
OGs_OG0004756_Gbi_Lko.aln	0.0429	0.158	3.6803
OGs_OG0008546_Gbi_Lko.aln	0.1568	0.457	2.9153
OGs_OG0007532_Gbi_Lko.aln	0.0924	0.4043	4.3778
OGs_OG0006082_Gbi_Lko.aln	0.0208	0.0906	4.3639
OGs_OG0002725_Gbi_Lko.aln	0.0241	0.098	4.0682
OGs_OG0013368_Gbi_Lko.aln	0.3454	0.7623	2.2073
OGs_OG0003794_Gbi_Lko.aln	0.0387	0.1134	2.9335
OGs_OG0006607_Gbi_Lko.aln	0.0489	0.1376	2.8153
OGs_OG0008011_Gbi_Lko.aln	0.0751	0.3156	4.2039
OGs_OG0013324_Gbi_Lko.aln	0.1638	0.2262	1.3807
OGs_OG0009342_Gbi_Lko.aln	0.1324	0.4163	3.1442
OGs_OG0002901_Gbi_Lko.aln	0.0223	0.0281	1.2594
OGs_OG0005071_Gbi_Lko.aln	0.0106	0.0232	2.1847
OGs_OG0013681_Gbi_Lko.aln	0.1079	0.376	3.4865
OGs_OG0002667_Gbi_Lko.aln	0.0632	0.2778	4.397
OGs_OG0004714_Gbi_Lko.aln	0.0293	0.0378	1.2908
OGs_OG0002735_Gbi_Lko.aln	0.0382	0.1497	3.922
OGs_OG0004358_Gbi_Lko.aln	0.0453	0.1287	2.8404
OGs_OG0006295_Gbi_Lko.aln	0.141	0.2644	1.8751
OGs_OG0005383_Gbi_Lko.aln	0.013	0.0472	3.6265
OGs_OG0005585_Gbi_Lko.aln	0.139	0.5364	3.858
OGs_OG0004567_Gbi_Lko.aln	0.031	0.0974	3.1403
OGs_OG0006245_Gbi_Lko.aln	0.0614	0.2374	3.8675
OGs_OG0002942_Gbi_Lko.aln	0.0539	0.1127	2.0924
OGs_OG0005056_Gbi_Lko.aln	0.0238	0.0942	3.961
OGs_OG0004798_Gbi_Lko.aln	0.0794	0.1798	2.2651
OGs_OG0004866_Gbi_Lko.aln	0.1346	0.5713	4.2441
OGs_OG0006196_Gbi_Lko.aln	0.0405	0.1507	3.7218
OGs_OG0005608_Gbi_Lko.aln	0.0394	0.1679	4.2643
OGs_OG0003775_Gbi_Lko.aln	0.0286	0.1089	3.8076
OGs_OG0003576_Gbi_Lko.aln	0.0639	0.1321	2.067
OGs_OG0001245_Gbi_Lko.aln	0.0601	0.1036	1.7244
OGs_OG0005268_Gbi_Lko.aln	0.0371	0.1626	4.3869
OGs_OG0004775_Gbi_Lko.aln	0.0642	0.2704	4.212
OGs_OG0013432_Gbi_Lko.aln	0.0403	0.1411	3.501
OGs_OG0013406_Gbi_Lko.aln	0.2052	0.3414	1.6642
OGs_OG0011561_Gbi_Lko.aln	0.0407	0.169	4.1503
OGs_OG0013595_Gbi_Lko.aln	0.0271	0.1146	4.2238
OGs_OG0002159_Gbi_Lko.aln	0.0459	0.1672	3.6466
OGs_OG0001853_Gbi_Lko.aln	0.0254	0.0933	3.6702
OGs_OG0002759_Gbi_Lko.aln	0.0772	0.171	2.2133
OGs_OG0007458_Gbi_Lko.aln	0.0297	0.0378	1.2735
OGs_OG0000788_Gbi_Lko.aln	0.0342	0.1229	3.5961
OGs_OG0007343_Gbi_Lko.aln	0.1002	0.1851	1.8467
OGs_OG0003029_Gbi_Lko.aln	0.0315	0.1204	3.8264
OGs_OG0005072_Gbi_Lko.aln	0.017	0.0763	4.4815
OGs_OG0007006_Gbi_Lko.aln	0.1162	0.2476	2.1296
OGs_OG0009673_Gbi_Lko.aln	0.0679	0.2792	4.1129
OGs_OG0013407_Gbi_Lko.aln	0.0989	0.3627	3.6653
OGs_OG0005077_Gbi_Lko.aln	0.0594	0.2341	3.9442
OGs_OG0011396_Gbi_Lko.aln	0.1339	0.2456	1.8342
OGs_OG0002870_Gbi_Lko.aln	0.0634	0.1816	2.8627
OGs_OG0007994_Gbi_Lko.aln	0.0726	0.1861	2.5648
OGs_OG0003829_Gbi_Lko.aln	0.0315	0.1376	4.3745
OGs_OG0005496_Gbi_Lko.aln	0.027	0.1142	4.2332
OGs_OG0001032_Gbi_Lko.aln	0.0795	0.2854	3.5885
OGs_OG0004279_Gbi_Lko.aln	0.0777	0.2788	3.5879
OGs_OG0004990_Gbi_Lko.aln	0.0741	0.2325	3.1378
OGs_OG0007438_Gbi_Lko.aln	1.0023	0.6048	0.6034
OGs_OG0007311_Gbi_Lko.aln	0.0229	0.0496	2.167
OGs_OG0007601_Gbi_Lko.aln	0.0759	0.28	3.6893
OGs_OG0010108_Gbi_Lko.aln	0.1744	0.3013	1.7273
OGs_OG0005894_Gbi_Lko.aln	0.1487	0.2176	1.464
OGs_OG0002414_Gbi_Lko.aln	0.0395	0.1756	4.4468
OGs_OG0004264_Gbi_Lko.aln	0.0193	0.0303	1.5665
OGs_OG0013307_Gbi_Lko.aln	0.2414	0.3375	1.3979
OGs_OG0011498_Gbi_Lko.aln	0.4007	0.6497	1.6215
OGs_OG0006281_Gbi_Lko.aln	0.0896	0.1367	1.5256
OGs_OG0003959_Gbi_Lko.aln	0.1156	0.2721	2.3549
OGs_OG0013476_Gbi_Lko.aln	0.1848	0.6826	3.6948
OGs_OG0002346_Gbi_Lko.aln	0.0879	0.1317	1.4978
OGs_OG0006779_Gbi_Lko.aln	0.0573	0.2535	4.4259
OGs_OG0005211_Gbi_Lko.aln	0.0899	0.1921	2.1374
OGs_OG0008022_Gbi_Lko.aln	0.0718	0.135	1.8805
OGs_OG0004616_Gbi_Lko.aln	0.0078	0.0116	1.4898
OGs_OG0006932_Gbi_Lko.aln	0.0917	0.3496	3.8126
OGs_OG0009116_Gbi_Lko.aln	0.023	0.0425	1.847
